# fault No. , centroid(lon,lat,z[km]) , node1(lon,lat,z[km]) , node2(lon,lat,z[km]) , node3(lon,lat,z[km]) , mean vertex length(km) , area(km^2) , strike(deg) , dip(deg)
24.0,141.96449795547628,43.2708985942206,-7.588303802900252,141.9553836125354,43.26220999287958,-6.023788046564732,141.9725586016002,43.2591174168233,-9.074241513719244,141.9655516522932,43.29136837295891,-7.666881848416779,5.0,5747259.758142156,1.7038585535271895,57.83891248795186
25.0,141.9462393052361,43.31498028292609,-4.237913844855636,141.9581546977926,43.32456842302196,-6.240180043891087,141.9362624923787,43.32617751497116,-2.50787132505684,141.944300725537,43.29419491078518,-3.96569016561898,5.0,7198089.446397468,0.9368849583931222,56.87328056252128
26.0,141.95600235854093,43.30337723558868,-5.957584019308949,141.9655516522932,43.29136837295891,-7.666881848416779,141.9581546977926,43.32456842302196,-6.240180043891087,141.944300725537,43.29419491078518,-3.96569016561898,5.0,7285717.020416584,1.4176475379889082,57.381169709717675
27.0,141.9835367523291,43.24647059265982,-10.419901538655722,141.9725586016002,43.2591174168233,-9.074241513719244,141.9765199212591,43.22836359315497,-10.33339075384265,142.001531734128,43.25193076800117,-11.85207234840527,5.0,5846485.139152936,18.446877392135264,40.02854173248546
28.0,141.9752685566389,43.27902696482377,-9.139534415356442,141.9725586016002,43.2591174168233,-9.074241513719244,141.9876954160233,43.28659510468911,-10.6774798839333,141.9655516522932,43.29136837295891,-7.666881848416779,5.0,5895893.717803476,6.357254565703314,50.24306089106874
29.0,141.93516535987555,43.23936448417089,-3.479257815507784,141.9386663196896,43.25756795127313,-3.061923759980345,141.9246718344726,43.2289340826754,-2.443507376033267,141.9421579254645,43.23159141856414,-4.932342310509739,5.0,4501804.88743903,19.032092250095893,55.030149670111385
30.0,141.94540261922984,43.25045645423895,-4.672684705684939,141.9386663196896,43.25756795127313,-3.061923759980345,141.9421579254645,43.23159141856414,-4.932342310509739,141.9553836125354,43.26220999287958,-6.023788046564732,5.0,5239362.445859879,13.734352509033547,60.40489945153448
31.0,141.95950540237973,43.34165142112255,-6.4605151723305125,141.9581546977926,43.32456842302196,-6.240180043891087,141.9699525273386,43.34367959306993,-8.231272645163699,141.9504089820081,43.35670624727575,-4.910092827936751,5.0,5503001.273552986,0.17283405110905561,56.7641602272226
32.0,141.96729858912445,43.31087820378749,-7.868879393928485,141.9781894172876,43.31669781538159,-9.69957628947759,141.9581546977926,43.32456842302196,-6.240180043891087,141.9655516522932,43.29136837295891,-7.666881848416779,5.0,6371660.183435055,1.6553130728602385,56.9499905648601
33.0,141.96963486536825,43.240282459508855,-8.987550559445177,141.9725586016002,43.2591174168233,-9.074241513719244,141.9598260732455,43.2333663685483,-7.555019410773639,141.9765199212591,43.22836359315497,-10.33339075384265,5.0,4943219.52120479,7.21106275020965,55.48840524044855
34.0,141.96258942912704,43.25156459275039,-7.551016323685872,141.9553836125354,43.26220999287958,-6.023788046564732,141.9598260732455,43.2333663685483,-7.555019410773639,141.9725586016002,43.2591174168233,-9.074241513719244,5.0,5133567.764305829,8.70552600594824,57.56173762951638
35.0,141.9687655474729,43.32831527715783,-8.057009659510792,141.9781894172876,43.31669781538159,-9.69957628947759,141.9699525273386,43.34367959306993,-8.231272645163699,141.9581546977926,43.32456842302196,-6.240180043891087,5.0,5021539.917651166,0.6461705638160602,57.12038054622126
36.0,141.94828122992442,43.21574449535706,-7.597316329538141,141.9521966924986,43.20760796044468,-9.070755495713456,141.9598260732455,43.2333663685483,-7.555019410773639,141.9328209240292,43.20625915707821,-6.166174082127327,5.0,5240133.561399446,33.83817906925595,59.58576488498163
37.0,141.9449349742464,43.223738981396885,-6.217845267803568,141.9328209240292,43.20625915707821,-6.166174082127327,141.9598260732455,43.2333663685483,-7.555019410773639,141.9421579254645,43.23159141856414,-4.932342310509739,5.0,4672711.595612272,33.99831735378436,59.94505616615223
